SalePrice,YearBuilt,LotArea,TotalBsmtSF,1stFlrSF,GarageArea,MSZoning,LandContour,LandSlope,Street,BldgType,RoofStyle,Foundation,Electrical,BedroomAbvGr,GarageType,GarageCars,PavedDrive,SaleType,SaleCondition,HeatingQC,LotFrontage
208500,2003,8450,856,856,548,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,65
181500,1976,9600,1262,1262,460,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,80
223500,2001,11250,920,920,608,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,68
140000,1915,9550,756,961,642,RL,Lvl,Gtl,Pave,1Fam,Gable,BrkTil,SBrkr,3,Detchd,3,Y,WD,Abnorml,Gd,60
250000,2000,14260,1145,1145,836,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,4,Attchd,3,Y,WD,Normal,Ex,84
143000,1993,14115,796,796,480,RL,Lvl,Gtl,Pave,1Fam,Gable,Wood,SBrkr,1,Attchd,2,Y,WD,Normal,Ex,85
307000,2004,10084,1686,1694,636,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,75
200000,1973,10382,1107,1107,484,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,NA
129900,1931,6120,952,1022,468,RM,Lvl,Gtl,Pave,1Fam,Gable,BrkTil,FuseF,2,Detchd,2,Y,WD,Abnorml,Gd,51
118000,1939,7420,991,1077,205,RL,Lvl,Gtl,Pave,2fmCon,Gable,BrkTil,SBrkr,2,Attchd,1,Y,WD,Normal,Ex,50
129500,1965,11200,1040,1040,384,RL,Lvl,Gtl,Pave,1Fam,Hip,CBlock,SBrkr,3,Detchd,1,Y,WD,Normal,Ex,70
345000,2005,11924,1175,1182,736,RL,Lvl,Gtl,Pave,1Fam,Hip,PConc,SBrkr,4,BuiltIn,3,Y,New,Partial,Ex,85
144000,1962,12968,912,912,352,RL,Lvl,Gtl,Pave,1Fam,Hip,CBlock,SBrkr,2,Detchd,1,Y,WD,Normal,TA,NA
279500,2006,10652,1494,1494,840,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,3,Y,New,Partial,Ex,91
157000,1960,10920,1253,1253,352,RL,Lvl,Gtl,Pave,1Fam,Hip,CBlock,SBrkr,2,Attchd,1,Y,WD,Normal,TA,NA
132000,1929,6120,832,854,576,RM,Lvl,Gtl,Pave,1Fam,Gable,BrkTil,FuseA,2,Detchd,2,Y,WD,Normal,Ex,51
149000,1970,11241,1004,1004,480,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,2,Attchd,2,Y,WD,Normal,Ex,NA
90000,1967,10791,0,1296,516,RL,Lvl,Gtl,Pave,Duplex,Gable,Slab,SBrkr,2,CarPort,2,Y,WD,Normal,TA,72
159000,2004,13695,1114,1114,576,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Detchd,2,Y,WD,Normal,Ex,66
139000,1958,7560,1029,1339,294,RL,Lvl,Gtl,Pave,1Fam,Hip,CBlock,SBrkr,3,Attchd,1,Y,COD,Abnorml,TA,70
325300,2005,14215,1158,1158,853,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,4,BuiltIn,3,Y,New,Partial,Ex,101
139400,1930,7449,637,1108,280,RM,Bnk,Gtl,Pave,1Fam,Gable,PConc,FuseF,3,Attchd,1,N,WD,Normal,Ex,57
230000,2002,9742,1777,1795,534,RL,Lvl,Gtl,Pave,1Fam,Hip,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,75
129900,1976,4224,1040,1060,572,RM,Lvl,Gtl,Pave,TwnhsE,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,TA,44
154000,1968,8246,1060,1060,270,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,1,Y,WD,Normal,Ex,NA
256300,2007,14230,1566,1600,890,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,3,Y,WD,Normal,Ex,110
134800,1951,7200,900,900,576,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Detchd,2,Y,WD,Normal,TA,60
306000,2007,11478,1704,1704,772,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,3,Y,WD,Normal,Ex,98
207500,1957,16321,1484,1600,319,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,2,Attchd,1,Y,WD,Normal,TA,47
68500,1927,6324,520,520,240,RM,Lvl,Gtl,Pave,1Fam,Gable,BrkTil,SBrkr,1,Detchd,1,Y,WD,Normal,Fa,60
40000,1920,8500,649,649,250,C (all),Lvl,Gtl,Pave,1Fam,Gambrel,BrkTil,SBrkr,3,Detchd,1,N,WD,Normal,TA,50
149350,1966,8544,1228,1228,271,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Attchd,1,Y,WD,Normal,Gd,NA
179900,2007,11049,1234,1234,484,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,85
165500,1959,10552,1398,1700,447,RL,Lvl,Gtl,Pave,1Fam,Hip,CBlock,SBrkr,4,Attchd,2,Y,WD,Normal,Gd,70
277500,2005,7313,1561,1561,556,RL,Lvl,Gtl,Pave,TwnhsE,Hip,PConc,SBrkr,2,Attchd,2,Y,WD,Normal,Ex,60
309000,2004,13418,1117,1132,691,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,4,BuiltIn,3,Y,WD,Normal,Ex,108
145000,1994,10859,1097,1097,672,RL,Lvl,Gtl,Pave,1Fam,Gable,PConc,SBrkr,3,Attchd,2,Y,WD,Normal,Ex,112
153000,1954,8532,1297,1297,498,RL,Lvl,Gtl,Pave,1Fam,Hip,CBlock,SBrkr,3,Attchd,2,Y,WD,Normal,Gd,74
109000,1953,7922,1057,1057,246,RL,Lvl,Gtl,Pave,1Fam,Gable,CBlock,SBrkr,3,Detchd,1,Y,WD,Abnorml,TA,68
